id,time,opinion,competitor
34,0.021312952041625977,0.2,0
14,0.021358728408813477,0.2,0
16,0.021374940872192383,0.2,0
7,0.02138686180114746,0.2,0
39,0.021405935287475586,0.2,0
45,0.02141880989074707,0.2,0
41,0.0214388370513916,0.2,0
44,0.02145981788635254,0.2,0
4,0.021480798721313477,0.2,0
18,0.021507740020751953,0.2,0
53,0.021548032760620117,0.2,0
17,0.02760767936706543,0.2,0
2,0.027736663818359375,0.2,0
26,0.02777576446533203,0.2,0
5,0.027794837951660156,0.2,0
9,0.027856826782226562,0.2,0
10,0.02790379524230957,0.2,0
1,0.027943849563598633,0.2,0
24,0.027962684631347656,0.2,0
49,0.027992725372314453,0.2,0
46,0.028090715408325195,0.2,0
27,0.028116941452026367,0.2,0
12,0.02816486358642578,0.2,0
6,0.02817678451538086,0.2,0
31,0.028191804885864258,0.2,0
13,0.028227806091308594,0.2,0
23,0.02823781967163086,0.2,0
43,0.028250694274902344,0.2,0
44,0.03894662857055664,0.2,0
3,0.038968801498413086,0.2,0
48,0.038983821868896484,0.2,0
25,0.03900480270385742,0.2,0
29,0.03902077674865723,0.2,0
41,0.039038896560668945,0.2,0
36,0.03905296325683594,0.2,0
15,0.03908181190490723,0.2,0
19,0.03909492492675781,0.2,0
20,0.0391077995300293,0.2,0
47,0.039119720458984375,0.2,0
28,0.039131879806518555,0.2,0
11,0.03914284706115723,0.2,0
34,0.03915977478027344,0.2,0
7,0.03918170928955078,0.2,0
14,0.03919363021850586,0.2,0
50,0.03920483589172363,0.2,0
0,0.03922677040100098,0.2,0
54,0.03925681114196777,0.2,0
39,0.03928780555725098,0.2,0
18,0.039305925369262695,0.2,0
16,0.039331674575805664,0.2,0
52,0.03934979438781738,0.2,0
45,0.03937482833862305,0.2,0
31,0.04561257362365723,0.2,0
1,0.045668840408325195,0.2,0
9,0.04569578170776367,0.2,0
53,0.04570889472961426,0.2,0
4,0.04572892189025879,0.2,0
49,0.04574275016784668,0.2,0
23,0.045755863189697266,0.2,0
12,0.04576873779296875,0.2,0
43,0.045781850814819336,0.2,0
38,0.04581093788146973,0.2,0
